Id,Label,Degree,modularity_class,componentnumber,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks
26363,26363,9,4,1,0,0,0,0,0,0,0,0
28240,28240,19,6,1,10,7,0.27401,0.299019,742.038515,0.000006,0.000006,0.000629
35376,35376,3,26,1,0,0,0,0,0,0,0,0
35424,35424,36,4,1,27,7,0.298024,0.332766,7785.548109,0.000021,0.000021,0.001503
36383,36383,33,16,1,16,7,0.272012,0.296561,10719.009502,0.00001,0.00001,0.001361
36860,36860,41,4,1,35,7,0.302862,0.340775,9720.153308,0.000025,0.000025,0.001891
37616,37616,24,143,1,18,7,0.27264,0.29732,10047.361563,0.000005,0.000005,0.001368
37932,37932,20,4,1,18,7,0.276899,0.305544,4390.986828,0.000015,0.000015,0.001046
39984,39984,9,4,1,0,0,0,0,0,0,0,0
41687,41687,37,4,1,23,7,0.302862,0.337467,13606.930998,0.000026,0.000026,0.001316
44934,44934,36,4,1,29,7,0.301382,0.338641,7920.889085,0.000012,0.000012,0.001579
48192,48192,43,4,1,29,7,0.29183,0.325374,4588.337667,0.000025,0.000025,0.001531
51464,51464,14,4,1,12,7,0.279629,0.303958,2844.219308,0.000012,0.000012,0.000772
55079,55079,18,4,1,9,7,0.270869,0.293284,4306.845347,0.000003,0.000003,0.000573
59077,59077,53,4,1,38,7,0.305209,0.345194,9391.744975,0.000026,0.000026,0.001989
59471,59471,38,4,1,24,7,0.290693,0.322787,3745.902663,0.000035,0.000035,0.001294
59870,59870,10,5,1,8,7,0.253079,0.27272,1947.654135,0.000003,0.000003,0.000631
61742,61742,50,6,1,39,7,0.311375,0.348403,15879.249308,0.000035,0.000035,0.00221
61796,61796,18,6,1,9,7,0.274753,0.297785,985.500694,0.000011,0.000011,0.000593
62227,62227,45,4,1,36,7,0.317795,0.355838,24033.056092,0.00005,0.00005,0.002109
65346,65346,2,44,1,0,0,0,0,0,0,0,0
66689,66689,19,21,1,14,7,0.281741,0.306525,4631.678921,0.000011,0.000011,0.000909
67851,67851,17,26,1,5,7,0.247642,0.26334,1589.139501,0.000001,0.000001,0.000482
24897,24897,2,32,1,0,0,0,0,0,0,0,0
30545,30545,23,32,1,8,8,0.254532,0.27267,1268.449999,0.000001,0.000001,0.000647
42653,42653,12,4,1,7,7,0.254578,0.27635,797.974789,0.000002,0.000002,0.000487
1182,1182,2,4,1,0,0,0,0,0,0,0,0
3175,3175,14,4,1,7,7,0.252718,0.270969,1027.34709,0.000001,0.000001,0.00051
5379,5379,22,4,1,17,7,0.276252,0.304896,1729.512541,0.000007,0.000007,0.000995
33426,33426,23,20,1,12,7,0.259137,0.282212,3259.588772,0.000002,0.000002,0.000888
34071,34071,26,4,1,20,7,0.282189,0.313216,3965.467837,0.000007,0.000007,0.001156
36192,36192,7,5,1,0,0,0,0,0,0,0,0
39688,39688,7,4,1,0,0,0,0,0,0,0,0
63113,63113,59,4,1,47,6,0.31158,0.353044,17258.453068,0.000026,0.000026,0.002542
65086,65086,25,4,1,17,7,0.274966,0.302441,4470.888823,0.000004,0.000004,0.00106
66829,66829,2,27,1,0,0,0,0,0,0,0,0
68041,68041,16,4,1,10,7,0.24601,0.266798,2783.676237,0.000001,0.000001,0.000693
554,554,33,4,1,27,7,0.29141,0.325499,5834.026507,0.000017,0.000017,0.001453
3088,3088,27,4,1,19,7,0.28992,0.317197,4950.478811,0.000016,0.000016,0.001142
4503,4503,11,4,1,10,7,0.273798,0.298611,406.467598,0.000006,0.000006,0.000594
4521,4521,11,4,1,10,7,0.273798,0.298611,406.467598,0.000006,0.000006,0.000594
6142,6142,42,4,1,30,7,0.306131,0.340422,18844.342705,0.000015,0.000015,0.001835
9117,9117,5,4,1,0,0,0,0,0,0,0,0
11180,11180,23,4,1,21,7,0.281349,0.310629,4181.63427,0.000019,0.000019,0.001237
12981,12981,15,4,1,12,7,0.275447,0.302943,1087.406235,0.000005,0.000005,0.000718
13769,13769,4,4,1,0,0,0,0,0,0,0,0
20394,20394,46,4,1,33,7,0.304031,0.339455,15142.284738,0.00002,0.00002,0.001973
21477,21477,13,4,1,10,7,0.272955,0.295868,846.33663,0.000013,0.000013,0.00065
22916,22916,13,21,1,9,7,0.272692,0.29573,1240.259139,0.000004,0.000004,0.000603
24295,24295,24,4,1,22,7,0.292431,0.324113,6970.90057,0.000007,0.000007,0.001279
28268,28268,11,20,1,6,8,0.246052,0.26772,2341.195307,0.000001,0.000001,0.00053
33726,33726,5,21,1,0,0,0,0,0,0,0,0
40894,40894,32,4,1,26,7,0.283543,0.317206,2189.801704,0.00001,0.00001,0.001379
44594,44594,8,5,1,0,0,0,0,0,0,0,0
45385,45385,37,4,1,27,6,0.294864,0.328173,8415.971868,0.000011,0.000011,0.001523
46139,46139,42,21,1,28,6,0.296715,0.327504,11347.341881,0.000014,0.000014,0.001509
49541,49541,25,6,1,19,7,0.284682,0.315055,1876.934927,0.000015,0.000015,0.001042
50970,50970,6,6,1,0,0,0,0,0,0,0,0
53159,53159,18,5,1,10,7,0.269121,0.29146,3527.601189,0.00001,0.00001,0.000706
55835,55835,25,4,1,23,7,0.283487,0.314653,1069.175904,0.000035,0.000035,0.001191
56948,56948,18,4,1,15,7,0.29117,0.319321,4935.025967,0.000006,0.000006,0.000971
57628,57628,2,4,1,0,0,0,0,0,0,0,0
60251,60251,8,6,1,0,0,0,0,0,0,0,0
60797,60797,18,4,1,15,7,0.27243,0.297896,3257.292539,0.000018,0.000018,0.000941
67012,67012,11,4,1,10,7,0.271076,0.294199,287.972964,0.000004,0.000004,0.000589
1441,1441,65,5,1,27,7,0.280625,0.306315,18295.774669,0.000244,0.000244,0.001961
3306,3306,22,21,1,22,7,0.294069,0.322592,6768.436904,0.000031,0.000031,0.001288
15089,15089,7,3,1,0,0,0,0,0,0,0,0
22990,22990,14,16,1,4,7,0.237999,0.252661,228.917326,0.000001,0.000001,0.00035
25318,25318,5,5,1,0,0,0,0,0,0,0,0
25406,25406,2,20,1,0,0,0,0,0,0,0,0
25750,25750,15,5,1,9,8,0.229264,0.245848,394.537586,0.000002,0.000002,0.000738
25902,25902,14,16,1,9,8,0.252988,0.272183,2501.21028,0.000001,0.000001,0.00074
28406,28406,22,5,1,10,8,0.233493,0.250642,807.847196,0.000009,0.000009,0.000801
28440,28440,1,5,1,0,0,0,0,0,0,0,0
29941,29941,3,16,1,0,0,0,0,0,0,0,0
33454,33454,25,21,1,19,7,0.276359,0.301785,2133.949485,0.000014,0.000014,0.001118
39659,39659,18,21,1,15,7,0.265892,0.288708,2870.272118,0.000005,0.000005,0.000941
40187,40187,7,5,1,0,0,0,0,0,0,0,0
42018,42018,9,5,1,0,0,0,0,0,0,0,0
59205,59205,9,16,1,0,0,0,0,0,0,0,0
1444,1444,4,20,1,0,0,0,0,0,0,0,0
4189,4189,1,20,1,0,0,0,0,0,0,0,0
5338,5338,20,5,1,6,8,0.248772,0.264548,3446.182753,0.000001,0.000001,0.000573
12698,12698,1,20,1,0,0,0,0,0,0,0,0
14425,14425,5,20,1,0,0,0,0,0,0,0,0
15946,15946,19,6,1,12,8,0.253985,0.275304,4325.752306,0.000003,0.000003,0.000926
19172,19172,4,20,1,0,0,0,0,0,0,0,0
22014,22014,7,20,1,0,0,0,0,0,0,0,0
29017,29017,12,18,1,6,8,0.239325,0.254065,612.813123,0.00001,0.00001,0.000511
30982,30982,7,20,1,0,0,0,0,0,0,0,0
34121,34121,15,20,1,7,8,0.228894,0.244692,567.97238,0.000001,0.000001,0.000574
35725,35725,17,20,1,11,7,0.26071,0.282799,3152.458362,0.00001,0.00001,0.000814
35863,35863,10,20,1,7,8,0.234032,0.251415,753.915985,0.000001,0.000001,0.00054
40691,40691,5,20,1,0,0,0,0,0,0,0,0
41588,41588,25,20,1,8,8,0.248467,0.267823,1809.861426,0.000001,0.000001,0.000649
45556,45556,11,18,1,6,8,0.234341,0.248519,201.147478,0.00001,0.00001,0.000507
52121,52121,4,20,1,0,0,0,0,0,0,0,0
52622,52622,24,20,1,9,8,0.233839,0.251708,608.252034,0.000001,0.000001,0.0007
56995,56995,7,20,1,0,0,0,0,0,0,0,0
57145,57145,4,5,1,0,0,0,0,0,0,0,0
3029,3029,6,5,1,0,0,0,0,0,0,0,0
39076,39076,1,5,1,0,0,0,0,0,0,0,0
57738,57738,26,4,1,16,7,0.275929,0.303103,2465.404326,0.000012,0.000012,0.000971
2394,2394,11,4,1,9,7,0.263422,0.286371,1626.501854,0.000003,0.000003,0.00062
2470,2470,2,4,1,0,0,0,0,0,0,0,0
6975,6975,23,4,1,20,7,0.281126,0.311478,8534.814841,0.000006,0.000006,0.001239
17554,17554,8,4,1,0,0,0,0,0,0,0,0
17702,17702,2,4,1,0,0,0,0,0,0,0,0
18533,18533,22,4,1,12,7,0.264355,0.289627,783.441114,0.000005,0.000005,0.000709
20532,20532,10,4,1,8,8,0.254715,0.276124,217.48387,0.000003,0.000003,0.000513
22552,22552,36,4,1,29,7,0.294008,0.329812,6510.843847,0.000018,0.000018,0.001602
27926,27926,13,4,1,9,8,0.259707,0.282179,206.728243,0.000003,0.000003,0.000562
29761,29761,6,4,1,0,0,0,0,0,0,0,0
33137,33137,2,4,1,0,0,0,0,0,0,0,0
34596,34596,13,4,1,10,7,0.268968,0.291772,1626.169154,0.00001,0.00001,0.000642
35059,35059,5,4,1,0,0,0,0,0,0,0,0
35280,35280,29,4,1,16,8,0.27196,0.299511,1822.542924,0.000005,0.000005,0.000935
47226,47226,6,156,1,0,0,0,0,0,0,0,0
54118,54118,6,4,1,0,0,0,0,0,0,0,0
60926,60926,42,4,1,32,7,0.301126,0.335956,12595.348919,0.000017,0.000017,0.001822
61918,61918,10,266,1,5,8,0.224403,0.239055,657.32077,0.000001,0.000001,0.000483
65338,65338,10,18,1,4,7,0.261238,0.278026,511.475777,0.000229,0.000229,0.000343
66820,66820,29,4,1,18,7,0.284282,0.312241,2619.878545,0.000014,0.000014,0.001045
66821,66821,4,4,1,0,0,0,0,0,0,0,0
67820,67820,7,4,1,0,0,0,0,0,0,0,0
4070,4070,13,4,1,8,7,0.270714,0.292412,2325.778521,0.000002,0.000002,0.000578
17141,17141,17,5,1,8,8,0.252673,0.273095,3462.61729,0.000004,0.000004,0.000621
25442,25442,8,4,1,0,0,0,0,0,0,0,0
30291,30291,24,4,1,16,7,0.272902,0.302043,1128.327019,0.000005,0.000005,0.00091
37380,37380,2,4,1,0,0,0,0,0,0,0,0
46598,46598,7,4,1,0,0,0,0,0,0,0,0
51911,51911,3,32,1,0,0,0,0,0,0,0,0
53676,53676,15,4,1,9,8,0.259707,0.280815,1102.517656,0.000016,0.000016,0.000634
54556,54556,19,4,1,16,7,0.288798,0.316648,7868.773639,0.000234,0.000234,0.000995
57682,57682,3,4,1,0,0,0,0,0,0,0,0
57739,57739,3,4,1,0,0,0,0,0,0,0,0
58198,58198,1,4,1,0,0,0,0,0,0,0,0
6466,6466,5,29,1,0,0,0,0,0,0,0,0
9207,9207,20,10,1,16,7,0.271024,0.297502,771.355942,0.000004,0.000004,0.000908
9211,9211,1,4,1,0,0,0,0,0,0,0,0
12067,12067,26,10,1,17,8,0.271388,0.299025,895.842834,0.000005,0.000005,0.000961
16164,16164,54,10,1,40,7,0.311238,0.350385,16341.563113,0.000028,0.000028,0.002178
17755,17755,23,4,1,8,8,0.242062,0.260698,1035.081952,0.000001,0.000001,0.000631
27312,27312,34,4,1,30,7,0.292794,0.328019,4756.953237,0.000036,0.000036,0.001568
28209,28209,7,4,1,0,0,0,0,0,0,0,0
32800,32800,18,29,1,12,7,0.273218,0.298937,5712.941206,0.000003,0.000003,0.000804
36011,36011,2,4,1,0,0,0,0,0,0,0,0
36019,36019,8,4,1,0,0,0,0,0,0,0,0
38656,38656,14,4,1,13,7,0.269992,0.296115,1840.634258,0.000006,0.000006,0.000807
39723,39723,32,4,1,28,7,0.302023,0.335271,7816.90462,0.000024,0.000024,0.001546
54519,54519,30,4,1,16,7,0.277604,0.304801,4989.561856,0.000004,0.000004,0.001072
55319,55319,38,10,1,23,6,0.300042,0.329537,10269.608968,0.000021,0.000021,0.001377
57174,57174,2,4,1,0,0,0,0,0,0,0,0
58769,58769,11,32,1,5,8,0.244694,0.263528,227.25678,0.000002,0.000002,0.000377
64720,64720,11,4,1,6,8,0.239932,0.257605,168.065031,0.000001,0.000001,0.000455
10849,10849,12,4,1,8,7,0.250221,0.272016,264.12729,0.000002,0.000002,0.00052
14456,14456,18,26,1,11,8,0.250663,0.271972,4012.216297,0.000001,0.000001,0.000882
15993,15993,11,20,1,7,7,0.24851,0.26962,1011.547937,0.000003,0.000003,0.0005
21895,21895,18,4,1,10,7,0.272064,0.296672,1957.127726,0.000006,0.000006,0.000643
28970,28970,2,4,1,0,0,0,0,0,0,0,0
47703,47703,9,4,1,0,0,0,0,0,0,0,0
54274,54274,2,4,1,0,0,0,0,0,0,0,0
66739,66739,21,16,1,9,7,0.25191,0.272342,2147.726865,0.000001,0.000001,0.000721
67464,67464,9,4,1,0,0,0,0,0,0,0,0
11090,11090,4,4,1,0,0,0,0,0,0,0,0
1227,1227,23,4,1,15,7,0.276413,0.298391,4176.590742,0.000011,0.000011,0.000995
3826,3826,20,4,1,13,7,0.286118,0.311828,3625.907158,0.00024,0.00024,0.000835
1693,1693,3,20,1,0,0,0,0,0,0,0,0
2317,2317,24,4,1,19,8,0.274328,0.304888,2145.212452,0.000012,0.000012,0.001084
2658,2658,9,4,1,0,0,0,0,0,0,0,0
5187,5187,26,4,1,21,7,0.276467,0.308473,1353.16086,0.000014,0.000014,0.001106
6647,6647,6,9,1,0,0,0,0,0,0,0,0
7522,7522,18,4,1,12,8,0.266943,0.295236,1575.263784,0.000004,0.000004,0.000711
10597,10597,8,7,1,0,0,0,0,0,0,0,0
11443,11443,3,4,1,0,0,0,0,0,0,0,0
12818,12818,13,4,1,9,7,0.265047,0.28984,319.241596,0.000006,0.000006,0.000535
13093,13093,18,4,1,11,8,0.256049,0.282045,529.262037,0.000005,0.000005,0.000646
16521,16521,11,4,1,5,7,0.252403,0.274112,19.907417,0.000003,0.000003,0.000346
20994,20994,29,4,1,25,7,0.295972,0.329908,8254.238518,0.000047,0.000047,0.001386
21044,21044,28,4,1,20,7,0.288387,0.319273,5196.998912,0.000007,0.000007,0.001185
24959,24959,28,6,1,22,7,0.29346,0.324244,4422.076186,0.000018,0.000018,0.001264
26042,26042,7,4,1,0,0,0,0,0,0,0,0
26654,26654,4,20,1,0,0,0,0,0,0,0,0
27246,27246,12,4,1,11,7,0.276037,0.300573,1082.147878,0.000012,0.000012,0.000661
28320,28320,19,4,1,16,7,0.263863,0.291759,1397.232212,0.000006,0.000006,0.000929
28534,28534,17,18,1,8,8,0.261382,0.284102,1404.961731,0.000005,0.000005,0.000561
33200,33200,20,4,1,17,7,0.276953,0.305741,1448.723164,0.000024,0.000024,0.000938
33847,33847,22,4,1,20,7,0.276144,0.307598,2021.746741,0.000012,0.000012,0.001081
34305,34305,7,1,1,0,0,0,0,0,0,0,0
34364,34364,18,21,1,13,8,0.276845,0.302085,6993.438755,0.000004,0.000004,0.000905
34891,34891,12,4,1,7,7,0.271024,0.29375,1373.391584,0.000019,0.000019,0.000495
35247,35247,3,4,1,0,0,0,0,0,0,0,0
42581,42581,21,4,1,16,7,0.278969,0.307274,4065.468178,0.000022,0.000022,0.000989
48773,48773,13,4,1,10,7,0.262253,0.286206,234.488899,0.000006,0.000006,0.000593
49929,49929,9,12,1,0,0,0,0,0,0,0,0
51277,51277,6,4,1,0,0,0,0,0,0,0,0
54369,54369,15,5,1,6,8,0.265842,0.287153,1606.893351,0.000005,0.000005,0.000435
54424,54424,14,4,1,12,7,0.278039,0.30295,1958.513893,0.000013,0.000013,0.000688
54785,54785,44,4,1,41,7,0.294558,0.334389,7671.035136,0.000037,0.000037,0.002106
58449,58449,9,18,1,0,0,0,0,0,0,0,0
68711,68711,27,4,1,16,7,0.279629,0.306187,3925.767013,0.000007,0.000007,0.000976
2416,2416,7,29,1,0,0,0,0,0,0,0,0
7859,7859,38,10,1,12,7,0.272169,0.295453,2407.11371,0.000005,0.000005,0.000795
10425,10425,14,4,1,6,7,0.249516,0.268322,2458.669447,0.000001,0.000001,0.000473
10740,10740,2,4,1,0,0,0,0,0,0,0,0
16455,16455,8,10,1,0,0,0,0,0,0,0,0
17329,17329,12,4,1,5,7,0.254898,0.275458,18.05348,0.000011,0.000011,0.000339
19740,19740,4,5,1,0,0,0,0,0,0,0,0
21130,21130,20,12,1,8,7,0.260662,0.281874,3879.459309,0.000201,0.000201,0.000601
22838,22838,36,4,1,26,7,0.293157,0.328412,8415.17898,0.000217,0.000217,0.001399
23448,23448,10,9,1,7,7,0.270404,0.292147,1302.75643,0.000003,0.000003,0.000471
32368,32368,25,4,1,19,7,0.282245,0.311487,3105.597592,0.000051,0.000051,0.001078
35236,35236,9,4,1,0,0,0,0,0,0,0,0
37482,37482,17,4,1,11,7,0.271804,0.298752,1859.745567,0.000007,0.000007,0.000694
38256,38256,5,3,1,0,0,0,0,0,0,0,0
39608,39608,1,4,1,0,0,0,0,0,0,0,0
42595,42595,12,82,1,8,7,0.249253,0.271424,368.446242,0.000004,0.000004,0.000511
46876,46876,3,4,1,0,0,0,0,0,0,0,0
48022,48022,14,4,1,12,7,0.266441,0.293292,584.163374,0.000006,0.000006,0.000698
48024,48024,2,4,1,0,0,0,0,0,0,0,0
49794,49794,18,4,1,13,7,0.270611,0.29543,1515.670075,0.000011,0.000011,0.000807
50192,50192,9,20,1,0,0,0,0,0,0,0,0
51707,51707,4,4,1,0,0,0,0,0,0,0,0
53316,53316,7,4,1,0,0,0,0,0,0,0,0
55735,55735,15,4,1,11,7,0.281405,0.307956,2480.540303,0.000013,0.000013,0.000694
56559,56559,18,4,1,15,7,0.273587,0.30116,438.373438,0.000032,0.000032,0.000802
60516,60516,16,4,1,8,7,0.264306,0.28629,647.447951,0.000017,0.000017,0.000536
62245,62245,8,9,1,0,0,0,0,0,0,0,0
63938,63938,11,4,1,8,7,0.266993,0.290409,431.926894,0.000004,0.000004,0.000513
63966,63966,18,4,1,12,7,0.269428,0.294699,1028.519771,0.000005,0.000005,0.000723
66135,66135,44,4,1,32,7,0.30087,0.337686,5391.136925,0.000038,0.000038,0.001667
66505,66505,6,29,1,0,0,0,0,0,0,0,0
12081,12081,6,5,1,0,0,0,0,0,0,0,0
6326,6326,2,5,1,0,0,0,0,0,0,0,0
14035,14035,2,5,1,0,0,0,0,0,0,0,0
15238,15238,8,5,1,0,0,0,0,0,0,0,0
21834,21834,10,5,1,3,8,0.215077,0.227219,7.558111,0.000001,0.000001,0.000306
42856,42856,13,3,1,4,8,0.217485,0.228846,758.800295,0.000001,0.000001,0.000511
65697,65697,3,5,1,0,0,0,0,0,0,0,0
4305,4305,4,5,1,0,0,0,0,0,0,0,0
19921,19921,8,3,1,0,0,0,0,0,0,0,0
20449,20449,11,3,1,3,9,0.201678,0.21074,285.549032,0,0,0.000426
23939,23939,5,3,1,0,0,0,0,0,0,0,0
24872,24872,3,3,1,0,0,0,0,0,0,0,0
29334,29334,6,3,1,0,0,0,0,0,0,0,0
29950,29950,5,3,1,0,0,0,0,0,0,0,0
40924,40924,11,5,1,8,7,0.265096,0.284013,4338.620508,0.000016,0.000016,0.000693
42260,42260,10,3,1,2,9,0.203268,0.212998,186.817723,0.000007,0.000007,0.000283
50213,50213,16,3,1,6,8,0.231661,0.246663,1969.68571,0.000001,0.000001,0.000645
55575,55575,2,5,1,0,0,0,0,0,0,0,0
64612,64612,5,3,1,0,0,0,0,0,0,0,0
11580,11580,7,4,1,0,0,0,0,0,0,0,0
2009,2009,9,266,1,0,0,0,0,0,0,0,0
7346,7346,13,32,1,2,9,0.216489,0.228824,542.796821,0.000002,0.000002,0.000267
26913,26913,28,4,1,20,8,0.287277,0.31679,7338.005409,0.00003,0.00003,0.001221
30160,30160,49,4,1,36,6,0.305735,0.341455,17642.218496,0.000234,0.000234,0.002076
40852,40852,15,4,1,5,8,0.247902,0.264355,828.305451,0.000009,0.000009,0.000429
52827,52827,4,266,1,0,0,0,0,0,0,0,0
65137,65137,3,4,1,0,0,0,0,0,0,0,0
2834,2834,2,4,1,0,0,0,0,0,0,0,0
5029,5029,24,4,1,20,7,0.278367,0.307909,3966.70013,0.000009,0.000009,0.001169
9390,9390,24,4,1,14,8,0.281909,0.307898,2962.955459,0.000006,0.000006,0.000894
9605,9605,13,33,1,9,8,0.264651,0.288945,4687.154689,0.000003,0.000003,0.000625
10631,10631,6,4,1,0,0,0,0,0,0,0,0
14245,14245,4,4,1,0,0,0,0,0,0,0,0
15197,15197,10,82,1,5,8,0.234885,0.251881,672.312893,0.000002,0.000002,0.000433
19734,19734,12,4,1,8,7,0.26071,0.283689,277.42373,0.000003,0.000003,0.000504
26554,26554,2,4,1,0,0,0,0,0,0,0,0
27652,27652,31,4,1,23,8,0.290812,0.323464,9045.439239,0.00044,0.00044,0.001338
29181,29181,15,4,1,12,7,0.285082,0.310948,1330.412779,0.000027,0.000027,0.000703
35372,35372,2,4,1,0,0,0,0,0,0,0,0
45521,45521,13,4,1,8,7,0.271648,0.29306,1464.615596,0.00001,0.00001,0.000547
46695,46695,22,4,1,20,7,0.297587,0.330556,4193.153364,0.00002,0.00002,0.001097
47357,47357,10,10,1,7,8,0.253713,0.27338,579.230475,0.000005,0.000005,0.000494
55570,55570,13,4,1,9,7,0.265692,0.288664,2292.67047,0.000011,0.000011,0.000622
58188,58188,12,4,1,7,8,0.252898,0.273195,418.923309,0.000003,0.000003,0.000496
65619,65619,2,4,1,0,0,0,0,0,0,0,0
67802,67802,11,4,1,7,7,0.255542,0.275826,1477.925544,0.000003,0.000003,0.000517
2424,2424,9,20,1,0,0,0,0,0,0,0,0
12015,12015,8,17,1,0,0,0,0,0,0,0,0
18866,18866,2,20,1,0,0,0,0,0,0,0,0
19102,19102,4,4,1,0,0,0,0,0,0,0,0
22790,22790,2,4,1,0,0,0,0,0,0,0,0
31944,31944,19,3,1,7,7,0.240706,0.257148,1622.001942,0.000002,0.000002,0.000601
33090,33090,20,3,1,8,8,0.248685,0.266275,1981.459532,0.000002,0.000002,0.000728
61192,61192,3,3,1,0,0,0,0,0,0,0,0
62514,62514,2,21,1,0,0,0,0,0,0,0,0
20338,20338,14,6,1,7,8,0.24038,0.257313,830.109333,0.000001,0.000001,0.00058
1268,1268,22,6,1,10,7,0.257117,0.276852,3640.596701,0.000011,0.000011,0.000786
5201,5201,8,20,1,0,0,0,0,0,0,0,0
11203,11203,4,32,1,0,0,0,0,0,0,0,0
23485,23485,4,6,1,0,0,0,0,0,0,0,0
23499,23499,4,4,1,0,0,0,0,0,0,0,0
26530,26530,13,6,1,10,7,0.255542,0.274825,1117.716755,0.00001,0.00001,0.000664
35178,35178,10,4,1,6,8,0.25467,0.275309,1279.486877,0.000002,0.000002,0.000486
37066,37066,2,6,1,0,0,0,0,0,0,0,0
45079,45079,21,6,1,14,7,0.276467,0.301567,2013.54109,0.000014,0.000014,0.000846
50437,50437,3,6,1,0,0,0,0,0,0,0,0
51791,51791,8,54,1,0,0,0,0,0,0,0,0
56424,56424,15,32,1,4,8,0.217251,0.229542,468.55167,0,0,0.000453
56504,56504,13,4,1,7,8,0.237561,0.255305,2030.17596,0.000003,0.000003,0.000599
2619,2619,11,32,1,4,9,0.223871,0.237301,686.590963,0.000001,0.000001,0.000421
13939,13939,4,32,1,0,0,0,0,0,0,0,0
15106,15106,6,32,1,0,0,0,0,0,0,0,0
15460,15460,9,32,1,0,0,0,0,0,0,0,0
26757,26757,1,32,1,0,0,0,0,0,0,0,0
37799,37799,11,32,1,2,8,0.203356,0.212858,88.578781,0,0,0.000279
43482,43482,1,32,1,0,0,0,0,0,0,0,0
43551,43551,2,32,1,0,0,0,0,0,0,0,0
51109,51109,2,32,1,0,0,0,0,0,0,0,0
53441,53441,4,32,1,0,0,0,0,0,0,0,0
65621,65621,5,32,1,0,0,0,0,0,0,0,0
35835,35835,23,54,1,10,8,0.256049,0.276474,3903.518856,0.000015,0.000015,0.000812
1481,1481,29,54,1,16,8,0.278914,0.303561,7662.275166,0.000437,0.000437,0.001115
2934,2934,16,54,1,9,8,0.253894,0.274204,1884.466634,0.000002,0.000002,0.000719
3624,3624,23,9,1,11,7,0.252808,0.273286,1935.234409,0.000001,0.000001,0.000842
6495,6495,5,54,1,0,0,0,0,0,0,0,0
10170,10170,23,21,1,19,7,0.284339,0.311218,11724.536431,0.00001,0.00001,0.001287
26220,26220,15,54,1,10,8,0.256466,0.277354,1331.158198,0.000003,0.000003,0.000734
30361,30361,1,54,1,0,0,0,0,0,0,0,0
31240,31240,10,54,1,3,9,0.210542,0.221604,282.813082,0.000001,0.000001,0.000369
38074,38074,7,54,1,0,0,0,0,0,0,0,0
40907,40907,3,54,1,0,0,0,0,0,0,0,0
43740,43740,2,54,1,0,0,0,0,0,0,0,0
43776,43776,8,54,1,0,0,0,0,0,0,0,0
48411,48411,5,54,1,0,0,0,0,0,0,0,0
48823,48823,11,9,1,9,8,0.256466,0.276417,4306.762792,0.000001,0.000001,0.000699
51246,51246,3,54,1,0,0,0,0,0,0,0,0
57295,57295,8,54,1,0,0,0,0,0,0,0,0
58006,58006,23,9,1,15,7,0.271128,0.29638,5922.015741,0.000003,0.000003,0.001063
58748,58748,2,54,1,0,0,0,0,0,0,0,0
61364,61364,6,54,1,0,0,0,0,0,0,0,0
67569,67569,20,54,1,5,8,0.233109,0.248631,2829.109685,0.000001,0.000001,0.000534
